TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,parallax,e_parallax,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
88800,31228,106.7382529,37.72400936,0.959,16.6259842,16.2808151,16.1306229,15.820075,15.7487144,15.5493431,15.4284067,15.2960749,15.2751541,15.2073832,15.1750717,15.1889095,0.344,0.0347,5951.4507,3.7738404,-0.9769022,181.78798,0.5704204,0.36608705
88800,31235,105.2184131,37.71250085,0.969,16.4466438,16.178299,15.9279547,15.1408691,14.935318,14.2684717,14.0187654,13.4650621,13.3521557,13.1626835,12.9622278,12.9219894,0.3036,0.0152,4890.1177,2.678057,-0.3745215,60.336433,0.20347932,0.12520775
88800,31265,106.0676946,37.72458798,0.932,17.5859909,17.3875542,17.2237816,16.7061844,16.6194267,16.2400322,16.0686054,15.7865286,15.7234354,15.6093464,15.5560474,15.5206079,0.5518,0.0397,5732.99,3.9006946,-0.50817853,245.05695,0.47264403,0.3015997
88800,31276,106.4237731,37.73035737,0.914,17.8783283,17.5439816,17.4669495,17.0739861,16.958313,16.7208481,16.5779572,16.3581161,16.3381157,16.228157,16.1729031,16.1878185,0.3395,0.0502,4811.0967,2.150053,-1.8370788,155.73067,0.50525624,0.2688736
88800,31343,106.3332643,37.7308407,0.97,16.6519432,16.3142357,16.1282654,15.7338562,15.6602478,15.4425869,15.2974796,15.1391983,15.1219234,15.0217886,14.9845324,14.9851971,0.3705,0.0321,5988.3066,3.916523,-0.82252616,146.36984,0.39448616,0.3625491
88800,31351,106.4403191,37.71822509,0.995,16.5225582,16.3282833,16.0110245,15.15347,14.8995953,14.2682905,14.0795145,13.4890757,13.372447,13.2019806,13.0443096,13.0122566,0.7575,0.0308,4836.135,3.321018,-0.050930034,62.80439,0.14037731,0.082556106
88800,31395,105.8809084,37.72958231,0.649,16.5503521,16.3609009,16.2745724,15.6718779,15.6019354,15.1847382,15.0137234,14.6829777,14.6254606,14.4762964,14.3892345,14.3691511,1.4375,0.0306,5963.1704,4.2380705,-0.20391434,162.90553,0.14591444,0.14673468
88800,31422,105.082878,37.73358833,0.825,17.8126984,17.4057884,17.2529373,16.8636169,16.7979088,16.510458,16.3515358,16.1030731,16.0516167,15.9238024,15.827733,15.8482628,0.2167,0.0441,4971.0723,2.267813,-1.9293823,171.48544,0.45083418,0.23347838
88800,31403,106.494103,37.73226012,0.949,16.8613281,16.6190548,16.5889034,16.1166325,16.0533867,15.7373066,15.5914125,15.3492041,15.303565,15.1830368,15.101223,15.0924568,0.7,0.037,5510.0723,3.7341073,-1.6166847,487.9164,0.5746295,0.35273314
88800,31434,106.0284414,37.73414996,0.881,17.5001812,17.1888065,17.1590805,16.5905151,16.52668,16.1849594,15.9983616,15.7210608,15.6739635,15.5409575,15.450983,15.4472885,0.4317,0.0387,5149.726,3.038857,-1.5297909,249.34116,0.39117602,0.36469904
88800,31576,106.0099696,37.73737066,0.998,17.82621,17.5859928,17.3439713,16.6989651,16.4980965,15.9212122,15.6759052,15.2100344,15.0985336,14.9048786,14.7553301,14.7307034,0.1107,0.0314,4947.4126,2.5012677,-0.6606083,72.02348,0.27773622,0.15346555
88800,31588,106.1485359,37.74019652,0.813,17.202343,16.9158554,16.8893528,16.4452057,16.3625507,16.0546455,15.910841,15.6752052,15.6441517,15.5124817,15.4611158,15.4450102,0.6482,0.0363,5017.9585,2.986843,-1.8528218,197.7394,0.49609363,0.27729762
88800,31620,105.7354861,37.71726373,0.988,14.854599,14.6849222,14.4247961,13.8167009,13.6867399,13.2615891,13.0881424,12.8138075,12.6894894,12.6815548,12.516798,12.4920321,1.9667,0.0177,6071.6606,4.3159504,0.118960686,129.55028,0.101661436,0.12195319
88800,31621,105.0876195,37.72484004,0.971,14.8137426,14.484477,14.3626604,13.9114389,13.8342676,13.5363998,13.3840733,13.1685505,13.1174431,13.0567093,12.9693003,12.9519558,1.5782,0.0132,6244.5864,4.0959606,-0.41893634,109.78169,0.16039899,0.22067836
88800,31655,106.6320735,37.74345445,0.733,17.9353046,17.8571434,17.693903,17.8395348,17.7347469,17.6253014,17.5453453,17.3242989,17.2168293,17.0774727,16.8651409,16.8751984,0.013,0.081,4583.7363,2.2117698,-1.2763665,171.65889,0.37003,0.38327852
88800,31687,106.0738833,37.74280974,0.776,17.1793709,16.7503071,16.5668373,16.3128204,16.2165413,16.0316391,15.9021587,15.7638016,15.7497501,15.6615582,15.6120777,15.6384087,0.3323,0.0386,5613.5957,3.2853365,-1.1972467,301.83505,0.7930956,0.5623722
88800,31699,105.4062327,37.73667904,0.971,16.5568085,16.3547115,16.1375618,15.4083099,15.2609787,14.7380238,14.5538015,14.0788984,13.9927645,13.8308191,13.7261829,13.7026472,1.3843,0.0333,5478.1123,4.134675,0.020582922,149.12642,0.21507904,0.15894015
88800,31707,106.6235712,37.74106504,0.742,16.986454,16.6997299,16.6087952,16.108326,16.0408516,15.7411213,15.5939121,15.3757668,15.3410339,15.2556429,15.2141342,15.1977348,0.5645,0.03,5697.772,3.4166455,-1.2451972,317.59848,0.7361308,0.6157742
88800,31796,106.721099,37.74344017,0.783,17.8218327,17.6014748,17.5774384,17.018425,16.9117565,16.5726795,16.4006996,16.1484604,16.0959969,15.9902143,15.9003077,15.9311943,0.3604,0.0529,4950.471,2.587824,-1.7958766,126.055664,0.37566054,0.3634047
88800,31838,106.4431085,37.73960798,0.998,16.8781052,16.5906086,16.5111618,16.0858288,16.0157738,15.7011356,15.5596695,15.3264027,15.2954102,15.187747,15.1293468,15.1422567,0.6604,0.0324,5938.601,3.9783638,-0.669797,195.75552,0.382265,0.35165304
88800,31873,105.7765533,37.74464364,0.715,16.5225143,16.2804031,16.170784,15.5714626,15.4868288,15.0714359,14.9042397,14.5557137,14.489315,14.3494139,14.2647972,14.2439041,0.7568,0.0944,5824.2817,4.176847,-0.26299304,138.42387,0.16277401,0.14094935
88800,31880,105.8637584,37.74598987,0.95,16.4398155,16.2322731,16.0307312,15.4019032,15.2871914,14.8481092,14.6627846,14.3078527,14.2408533,14.1085205,14.0278606,14.0155001,0.9123,0.058,5777.9434,4.212004,-0.002070402,140.55035,0.15538603,0.16311182
88800,31920,106.6025901,37.74911236,0.787,17.4485226,17.1864395,17.104248,16.5565224,16.4712067,16.1421928,15.9837761,15.7590923,15.7344828,15.6320438,15.5649376,15.5601473,0.5197,0.0364,5691.8477,3.944974,-0.42191973,245.84721,0.41004965,0.2875455
88800,31984,105.6702546,37.75338545,0.817,17.2453766,16.7859535,16.6822186,16.2693138,16.1725044,15.9454069,15.7894659,15.6094398,15.5998783,15.4849968,15.4370327,15.4291153,0.2159,0.0441,5478.8936,2.4449468,-1.6100811,402.6156,0.5875452,0.47105968
88800,32080,105.644631,37.9344635,0.992,15.0412922,14.6524639,14.5399609,14.127284,14.0508461,13.8166847,13.6821527,13.5029383,13.4786196,13.3820496,13.343812,13.3366489,0.9505,0.0153,6165.0127,3.693667,-0.73643607,178.70682,0.39124238,0.35200948
88800,32149,105.2250809,37.96651009,0.996,17.4816399,17.0647507,17.0337772,16.6117878,16.5329094,16.2181435,16.0459461,15.7677422,15.7164707,15.5726118,15.4743929,15.4737091,0.6198,0.0575,5161.714,3.276978,-1.6983674,249.67914,0.3974722,0.35262933
88800,32169,105.2936094,37.96790661,0.903,17.3313274,16.9825058,16.8256264,16.3837528,16.321022,15.9840784,15.8491001,15.5868006,15.5355644,15.4495344,15.3917227,15.3814526,0.5911,0.0439,5988.1235,3.9255464,-0.56297886,157.4026,0.3205931,0.31150818
88800,32184,106.044842,37.98644192,0.709,15.9155159,15.6416807,15.5597897,15.0172205,14.9302683,14.5907888,14.4251003,14.1813602,14.14536,14.0440559,13.9957342,13.9872799,1.367,0.0195,6004.183,4.1243243,-0.30121368,133.696,0.17304085,0.18596677
88800,32224,106.0661578,37.9656046,0.751,17.1750202,16.8518238,16.7611008,16.2682705,16.1811447,15.8531475,15.7046709,15.4590101,15.4214134,15.3063726,15.2525711,15.2385616,0.5815,0.0377,5847.794,3.8879488,-0.58766466,241.0268,0.49053517,0.31696996
88800,32373,106.5961651,37.9611151,0.856,17.7293987,17.4057236,17.4225998,16.9507942,16.8616276,16.6334896,16.4813843,16.2848129,16.2694588,16.1605053,16.0929585,16.1181641,0.4069,0.0437,5035.7144,2.7449043,-1.8262787,159.01213,0.3759779,0.31907544
88800,32382,106.5009303,38.01048007,0.888,16.0369949,15.6389313,15.4886351,15.1539612,15.0875645,14.8887892,14.7723255,14.6460352,14.6425886,14.5633993,14.5406437,14.559494,0.5036,0.0254,6156.2515,3.882874,-0.63297987,170.53738,0.38078254,0.32354832
88800,32431,105.1033065,38.01301365,0.803,16.4912949,15.9207773,15.6510077,15.3241224,15.2399225,15.0274849,14.9042454,14.7123203,14.7197018,14.5998344,14.5466089,14.5402966,0.3512,0.0261,6191.085,3.6883955,-0.5586786,143.1798,0.5816359,0.2831764
88800,32505,105.8225288,38.02807184,0.988,16.1521969,15.8139133,15.740901,15.279892,15.1938095,14.9171705,14.7693796,14.5442781,14.5173597,14.4045086,14.3529129,14.3425369,0.7038,0.0475,5939.4614,3.795784,-0.9528339,160.516,0.438334,0.5435764
88800,32687,105.2985994,37.99989987,0.989,17.2360935,17.0477333,16.8513451,16.2784157,16.2027073,15.7909088,15.6207132,15.2604494,15.2058392,15.0709553,14.9798403,14.9745865,0.9128,0.0374,5990.982,4.188775,0.06526719,113.631294,0.1589872,0.13023582
88800,32712,105.4603314,37.99880078,0.86,17.6829815,17.3471832,17.2548447,16.8116531,16.7054367,16.4432621,16.2741776,16.051445,16.020256,15.8877811,15.8199253,15.8232565,0.2107,0.0466,5061.8247,2.524674,-1.6690345,180.8918,0.43784088,0.3630018
88800,32778,106.0968618,38.00226523,0.781,17.6901379,17.3680153,17.2356491,16.8478336,16.7624874,16.5386086,16.4080372,16.2356358,16.2127113,16.1142483,16.0724392,16.0779915,0.2399,0.0622,5728.6343,3.7089152,-0.6810937,290.59683,0.73860455,0.352828
88800,32812,106.6345976,37.99330568,0.923,17.6976967,17.5132828,17.4183483,16.7144852,16.5926151,16.0833321,15.8761959,15.4573984,15.3701839,15.1913795,15.0791426,15.0655556,0.2189,0.0353,5078.956,2.7740722,-0.7021023,129.23985,0.38566446,0.16932827
88800,32838,105.6600054,38.00253727,0.999,16.3439827,16.2160282,15.9720707,15.2394257,15.1016283,14.5810747,14.4131632,13.9482574,13.8634081,13.7042675,13.6117907,13.5817089,2.4635,0.0194,5359.066,4.412146,-0.062803775,178.12923,0.12173745,0.107504256
88800,32843,105.275727,38.00454907,0.998,16.8075886,16.4911175,16.3662224,15.7618256,15.6554375,15.2814837,15.0964966,14.7909937,14.7417717,14.6093044,14.542304,14.5251465,0.5785,0.0303,5796.924,3.4444697,-0.3202276,250.52992,0.7454445,0.2275849
88800,32855,105.9093604,37.99297465,0.608,16.0625572,15.7818766,15.7385921,15.1976795,15.1287212,14.7975883,14.6374264,14.4031782,14.3732681,14.2611046,14.2182064,14.2071552,1.2172,0.0242,5999.362,4.0399823,-0.68584,144.4003,0.2845823,0.37724632
88800,32860,106.4407836,37.99126355,0.925,16.8734951,16.6540565,16.5580311,16.028656,15.9710369,15.6202517,15.454812,15.2036667,15.1619978,15.0537872,14.9993553,14.9941511,0.8517,0.0343,5913.72,4.2285857,-0.394413,190.70271,0.23232512,0.16415408
88800,32851,105.4467727,38.04720579,0.826,16.8024597,16.4226475,16.2951317,15.9361706,15.8607578,15.6060667,15.4592113,15.2762766,15.2524567,15.1471624,15.0905056,15.1059113,0.5828,0.0326,5934.902,3.871289,-0.8726448,196.96933,0.3879968,0.37606272
88800,32914,105.8063455,37.99581741,0.962,17.1097012,16.890255,16.7734489,16.2070999,16.1321487,15.7276669,15.5548744,15.2304096,15.1884365,15.0434608,14.9726734,14.9503078,1.0196,0.0295,5814.9277,4.3313465,-0.25211704,131.48187,0.12714836,0.13007209
88800,32918,105.6620662,37.99163617,0.995,16.7591362,16.5492096,16.4466324,15.8184166,15.7420273,15.3267622,15.1546526,14.8013887,14.7378788,14.5981846,14.5160446,14.4961786,1.4373,0.0263,5696.1606,4.2498803,-0.25914723,161.27802,0.16744454,0.12835671
88800,33000,105.4068921,38.01092964,0.847,17.4876022,17.1335945,17.0290833,16.666214,16.5911274,16.3067818,16.1736202,15.9642639,15.9321728,15.8277512,15.7638273,15.7773342,0.2885,0.0516,5246.7993,2.6822214,-1.3766655,414.6068,0.6419247,0.4921115
88800,33061,105.187645,37.99465066,0.979,17.1290112,16.9151154,16.5542831,15.6305237,15.293026,14.4412766,14.3634777,13.310729,13.1080313,12.8920708,12.6239872,12.5793324,6.8152,0.0158,4267.2153,4.2205577,-0.31850946,99.042305,0.1631391,0.11697187
88800,33082,105.2782446,37.99003079,0.86,17.7894459,17.4294529,17.2392044,16.9230118,16.8489799,16.6080399,16.421257,16.2425537,16.2087212,16.0935173,16.0273304,16.0250168,0.4823,0.0556,5134.5586,3.166412,-1.6677109,213.17836,0.3544924,0.37011263
88800,33126,106.5383446,38.00762712,0.774,17.2972412,16.9268818,16.822834,16.3391514,16.2514954,15.9198017,15.7654543,15.5137701,15.4793186,15.3681517,15.3069344,15.3037987,0.2846,0.0313,5908.3037,3.7608085,-0.37517142,221.53372,0.6701365,0.20206402
88800,33160,106.121232,37.99902677,0.983,16.281189,15.8389902,15.7287455,15.3210316,15.2406511,15.0303249,14.9001131,14.729784,14.7157001,14.6263847,14.5975466,14.595048,0.3231,0.027,6029.467,3.8626204,-0.6155883,156.15721,0.46014807,0.31545836
88800,33187,105.7578391,37.99254394,0.902,15.3057442,14.9917555,14.9184914,14.4574528,14.3888569,14.0898399,13.9408894,13.7132177,13.6819324,13.5738354,13.5257788,13.5144691,1.2742,0.0155,6084.7217,4.0042024,-0.6283723,170.07655,0.23202284,0.28384554
88800,33229,105.8232334,38.0180066,0.776,17.7366638,17.3467941,17.3125801,16.8176537,16.7552795,16.4839935,16.3335133,16.1588554,16.1373558,16.0473976,15.9668131,15.9908075,0.3238,0.0449,5127.579,2.5816166,-1.694389,247.5896,0.5404421,0.3862646
88800,33318,105.9416393,37.97901157,0.982,16.7162342,16.5467033,16.4407063,15.777914,15.7008343,15.2815876,15.1067171,14.7835865,14.7252083,14.6041832,14.5381718,14.5225353,1.165,0.0299,5804.418,4.2211294,-0.09090892,148.16585,0.16380088,0.12465533
88800,33331,105.2452028,37.97502379,0.778,17.436758,17.221777,17.1179962,16.5875015,16.4918442,16.1378632,15.9639301,15.6696033,15.6027203,15.4731379,15.3663464,15.3770542,0.6883,0.0447,5705.6274,3.85139,-0.509058,333.4308,0.5322702,0.2788043
88800,33336,106.2342028,37.97827474,0.706,17.9602394,17.6219177,17.5564423,17.0783501,17.0354614,16.6892986,16.5339394,16.3037548,16.2650814,16.1576004,16.0889091,16.084568,0.5582,0.0674,5096.6543,2.8670573,-1.6415209,198.65158,0.445827,0.38641074
88800,33355,105.4284505,37.98370597,0.767,17.8730545,17.6612778,17.6488686,16.904623,16.7664528,16.2795105,16.1176834,15.6601906,15.5702353,15.3851681,15.2539673,15.2163925,0.9755,0.0476,5078.0522,3.683016,-0.60579157,149.84416,0.26898113,0.18258788
88800,33383,105.6803274,38.00818517,0.966,17.1014709,16.7773132,16.7575397,16.1968193,16.1305161,15.7322855,15.5498857,15.2409706,15.1744986,15.031106,14.95327,14.9286604,0.3952,0.0315,5302.697,3.3080812,-0.89064527,461.24524,0.5838869,0.49398124
88800,33429,106.7144202,37.96946905,0.673,15.5808258,15.2165127,15.1001453,14.6880398,14.6102972,14.3530731,14.2196798,14.0373077,14.0194902,13.9302158,13.894846,13.8979387,0.6356,0.0191,6041.982,3.8384078,-0.6541715,150.74365,0.3554933,0.33248222
88800,33531,106.0642107,37.97392016,0.678,15.8872147,15.4629898,15.3095665,14.9419088,14.8651104,14.6841106,14.5671139,14.4432678,14.4487572,14.3743172,14.3646736,14.346529,0.4339,0.0255,6178.0107,3.813925,-0.68618304,156.74208,0.42759198,0.35766068
88800,33554,106.0603235,37.96050315,0.622,17.6074295,17.3263512,17.1688423,16.842762,16.7521477,16.5189018,16.368391,16.1699047,16.1346531,16.0192146,15.9699154,15.9835281,0.3721,0.053,5356.0723,3.0032094,-1.3734647,500.41855,0.6879935,0.535639
88800,33555,105.8256503,37.95799109,0.739,17.2613602,17.0487251,16.8499413,16.0938072,15.9518795,15.3996582,15.1975422,14.734129,14.6408176,14.473712,14.3649244,14.338171,0.4518,0.0227,5017.426,3.3460035,-0.29510975,99.969696,0.1299574,0.14441605
88800,33587,106.6777817,37.98496063,0.746,16.8493557,16.5307884,16.3933887,15.9724283,15.8826933,15.6126986,15.4685545,15.2625542,15.2409611,15.1414051,15.1082277,15.1016684,0.4798,0.0279,5710.8413,3.1934478,-1.4327042,324.19067,0.75828445,0.5716707
88800,33618,105.3898699,37.95299789,0.988,16.1069603,15.7706804,15.6638737,15.2783051,15.2063637,14.9290752,14.792841,14.5858612,14.5624361,14.4591179,14.4180079,14.4070415,0.8982,0.0247,5965.0864,3.938651,-0.70974827,170.99438,0.315676,0.3265799
88800,33640,106.3548831,37.97273786,0.901,15.2940378,14.9255829,14.8187008,14.3994341,14.3150539,14.0900106,13.9588356,13.796875,13.791914,13.7024355,13.6832867,13.6812315,0.9159,0.0178,6113.857,3.8852656,-0.4983574,158.85063,0.28465858,0.19591446
88800,33641,106.2539363,37.95977994,0.886,17.4427204,17.1830711,17.0742874,16.4524498,16.3939438,16.0050011,15.8269711,15.5356808,15.5019236,15.3805199,15.3274412,15.32267,0.7086,0.0507,5686.7305,4.2975464,-0.04089158,165.56622,0.19723961,0.13738547
88800,33747,106.5999935,37.95548025,0.791,17.3724518,17.2018738,17.168972,16.5811119,16.5102882,16.1538925,15.9812708,15.7133408,15.6692753,15.5395336,15.4797029,15.4659119,0.5383,0.0435,5245.964,3.7393055,-0.7900518,424.65735,0.4739791,0.36040932
88800,33792,106.269327,37.95589063,0.805,17.6594963,17.4769459,17.4025841,16.7448311,16.6873646,16.2961559,16.1254349,15.8385201,15.7945576,15.6726599,15.6299,15.6138916,0.5929,0.0531,5614.179,4.101785,-0.27206603,183.10956,0.23003194,0.13082425
88800,33797,106.7180652,37.98619167,0.66,17.1433868,17.0367489,16.8391399,16.148653,16.0467682,15.5105858,15.2987442,14.8939848,14.8066015,14.6396751,14.532958,14.4994888,0.3442,0.0262,5195.9253,3.9352267,-0.28820503,168.20804,0.40616062,0.17835592
88800,33845,106.6280495,37.98529722,0.688,16.6777153,16.3520794,16.2258282,15.8522377,15.7792807,15.5505161,15.4233112,15.2547598,15.2478828,15.1475143,15.1122932,15.1131573,0.4657,0.0307,5856.738,3.6143916,-1.1210681,265.03293,0.6820808,0.5394214
88800,33885,105.9981785,37.94953903,0.827,17.4321365,17.2494583,17.1442032,16.5063305,16.4438744,16.018364,15.8372459,15.5081186,15.4576225,15.3117638,15.2274952,15.20786,1.0059,0.0346,5648.0024,4.3133817,-0.34130132,193.46199,0.16559759,0.13427584
88800,33912,105.0645748,37.94686767,0.773,17.8488445,17.4673424,17.3692722,16.9400749,16.86203,16.5614986,16.3879814,16.1512184,16.0982132,15.9544573,15.8363876,15.8458948,0.456,0.0454,5156.4785,3.1351154,-1.7041938,261.34225,0.3787286,0.37698615
88800,33978,105.0396991,37.94412541,0.701,16.306469,15.9639273,15.8829422,15.339427,15.2472382,14.8909817,14.7151432,14.4006672,14.3400717,14.1950321,14.1131926,14.0818262,0.7543,0.0209,5959.8047,3.9119027,-0.6840928,201.68523,0.50818795,0.37799567
88800,33982,105.6071475,37.94942314,0.864,17.314106,16.9950523,16.8732948,16.4950848,16.4133606,16.1170921,15.9568377,15.7271824,15.6891689,15.5559292,15.4827518,15.4804277,0.5222,0.0393,5128.6187,3.0162606,-1.7939433,260.29047,0.42351326,0.278413
88800,34038,105.6866045,37.91843344,0.717,16.708025,16.3272018,16.1519127,15.8148594,15.7378998,15.4946995,15.341073,15.1400928,15.1123466,14.9992275,14.9437437,14.9342194,0.4178,0.0662,6078.5425,3.8739433,-0.8216017,170.13913,0.36985686,0.33849454
88800,34082,106.5427376,37.96924198,0.826,17.3109283,17.0585995,16.8545685,16.3529129,16.2828159,15.9226418,15.7637863,15.5056114,15.4705906,15.3546343,15.2923298,15.3144035,0.4239,0.0339,5643.311,3.9936743,-0.66099465,285.06113,0.28586602,0.36418098
88800,34088,105.6984977,37.99291081,0.925,17.311636,17.0114975,16.9444828,16.5311279,16.4713058,16.2378693,16.1009178,15.9189892,15.887557,15.7822742,15.7044735,15.7483206,0.4525,0.0427,5478.429,3.737994,-1.2951775,453.46518,0.44207832,0.52503014
88800,34103,106.3880896,37.94512788,0.921,15.9170589,15.6184425,15.4998817,15.0663195,14.9954948,14.7508059,14.6142359,14.4370136,14.4245834,14.3354607,14.2988348,14.3004894,0.9287,0.0259,6074.5864,4.0057282,-0.5082789,150.02171,0.27138764,0.26040322
88800,34109,105.3154082,38.08840193,0.838,16.8777084,16.5989723,16.401413,15.8350086,15.7282276,15.3320694,15.1560631,14.8548203,14.8024855,14.6908722,14.63377,14.6218367,0.5281,0.0281,5969.1206,3.956341,-0.106846265,155.963,0.30942363,0.15308589
88800,34137,105.9764676,37.94228487,0.81,17.3326111,16.9971161,16.9325905,16.4898682,16.4064484,16.1292801,15.9828806,15.7363558,15.7036247,15.5936956,15.5285978,15.5226479,0.4898,0.0383,5342.6597,3.2552044,-1.5946245,470.6353,0.6198916,0.4901567
88800,34190,105.3707116,37.95665502,0.804,17.6078568,17.2501163,17.1592979,16.7720547,16.6781082,16.437355,16.2981548,16.1155243,16.0922623,15.9776669,15.949049,15.9366226,0.3191,0.0594,5109.5283,2.5405517,-1.7657396,224.56807,0.50363123,0.2852347
88800,34209,105.4752566,37.95166812,0.852,15.540144,15.2611103,15.1831255,14.7062597,14.6560574,14.3154373,14.1575432,13.9040489,13.8632488,13.7443419,13.6796999,13.6753607,1.6618,0.0185,5940.5796,4.0430202,-0.8732253,153.05899,0.19612357,0.33398068
88800,34258,106.2041578,37.96119892,0.992,17.1537132,17.0042191,16.8709946,16.1292839,16.0017986,15.5148001,15.346386,14.9353828,14.855485,14.7125854,14.6252289,14.6128283,1.4865,0.0308,5459.2056,4.3407216,-0.054273613,131.00996,0.16507578,0.12042566
88800,34263,105.9858429,37.94262282,0.986,17.2423382,16.990345,16.8373146,16.1230145,16.0038433,15.4449949,15.2097626,14.7786598,14.6831551,14.4930897,14.3716831,14.3374538,-0.5451,0.2439,4945.3037,2.4640017,-0.75584984,97.51202,0.2640272,0.1525597
88800,34391,105.6859515,37.95310704,0.852,17.5174828,17.1668282,17.1330299,16.6796341,16.5840111,16.2837696,16.1122704,15.900569,15.8772793,15.7592392,15.710988,15.6910276,0.2726,0.0437,5012.5933,2.6119497,-1.7714801,155.9011,0.32929617,0.2669211
88800,34395,106.6126496,37.93565631,0.644,16.0876694,15.6944323,15.5593023,15.2516422,15.172718,14.9857054,14.8647089,14.7289915,14.7307968,14.6434174,14.6082821,14.6267328,0.5898,0.0218,6143.3604,3.9266698,-0.5366441,160.1279,0.39913908,0.2540414
88800,34400,106.0634776,37.93937844,0.793,17.7586212,17.5354214,17.3841019,16.6357765,16.5223579,16.0133858,15.83533,15.3851128,15.2994204,15.1270599,15.0245104,14.9974442,0.9231,0.0336,5205.8726,3.7671142,-0.30616713,206.3308,0.25022057,0.11893227
88800,34411,106.3166188,37.93084175,0.835,16.8838673,16.6917496,16.6045113,16.0298595,15.936388,15.5733261,15.4036312,15.0998325,15.0448227,14.8990269,14.8133774,14.8093281,0.9129,0.0361,5278.8325,3.8303993,-1.4922923,348.4914,0.3867521,0.46495253
88800,34486,106.5335139,37.93067505,0.997,17.8895569,17.6400108,17.5133858,17.0767822,17.0074844,16.6502342,16.4804497,16.243557,16.2114429,16.0936642,16.0179367,16.0376892,0.481,0.0508,5622.1733,3.9835978,-0.37240106,286.5381,0.41020098,0.17368709
88800,34622,105.1654349,37.92920498,0.907,16.9161072,16.511837,16.3396473,15.9703493,15.9078083,15.6615715,15.5063133,15.293335,15.2650566,15.1411543,15.0616331,15.0566635,0.5342,0.0886,5856.7744,3.159874,-1.6154333,269.76617,0.7272284,0.48185676
88800,34623,106.0342438,37.9266722,0.868,17.6251526,17.2490654,17.2025108,16.781023,16.6688957,16.4558105,16.3127518,16.1349373,16.123497,16.0198517,15.9851084,15.9700108,0.3519,0.0463,5343.11,2.7148602,-1.6590513,465.4383,0.5978215,0.36966357
88800,34656,106.0762476,37.92483444,0.657,17.4956474,17.1313171,17.114521,16.5310745,16.4136238,16.0545616,15.8805046,15.5850964,15.5452833,15.4185772,15.3472385,15.3447828,0.5647,0.0468,5266.846,3.2713134,-0.8010766,444.6734,0.51803905,0.41895336
88800,34722,106.4260622,37.934048,0.995,16.7596245,16.4907341,16.4024773,15.8654003,15.7326221,15.3789024,15.1966724,14.8716831,14.8039818,14.6402016,14.5290432,14.5176907,0.4214,0.0263,5332.004,2.9455104,-1.2466149,473.98383,0.5854764,0.5333178
88800,34750,105.8298475,37.91554237,0.981,14.9905453,14.6384783,14.5630426,14.1147184,14.0409899,13.7595482,13.6106701,13.3966618,13.368721,13.2824497,13.2218971,13.214407,1.2742,0.016,6135.064,3.9132502,-0.6638447,177.27913,0.27969152,0.30972958
88800,34760,105.7562468,37.78938667,0.988,14.3585567,13.9847603,13.7832689,13.5931091,13.5134649,13.3375568,13.2145405,13.0871496,13.0607052,13.0008287,12.8910513,12.8905907,1.6568,0.0192,6271.0386,4.063424,-0.52733386,99.08348,0.19244376,0.28347957
88800,34761,106.5819305,37.92459949,0.856,17.8058338,17.4745884,17.3187923,16.8401737,16.730444,16.4344864,16.2755013,16.0385399,15.9876642,15.8973551,15.8516598,15.8444891,0.4182,0.0459,5745.718,3.9293144,-0.52261716,288.35803,0.46999472,0.30294642
88800,34792,105.4889004,37.9209973,0.907,14.8083,14.4321899,14.331913,13.8774309,13.7998056,13.5520411,13.4167747,13.257061,13.2220097,13.1620741,13.1036129,13.0962467,1.2503,0.0161,6256.8335,3.9797287,-0.4544477,101.12674,0.23032993,0.24570546
88800,34913,106.3459843,37.91345781,0.604,17.0159149,16.8877087,16.3520164,15.5587397,15.1270294,14.4179611,14.2170162,13.5461187,13.4212503,13.2520523,13.0726795,13.0458088,0.6142,0.0171,4634.294,3.0425935,0.11116231,80.98379,0.17024022,0.118287764
88800,34978,106.5279159,37.9152543,0.666,16.5531368,16.2182045,16.1093349,15.6765175,15.5947151,15.3396244,15.1946678,15.0012856,14.9848413,14.8895617,14.8576622,14.8479004,0.5184,0.0429,5986.3784,3.9653447,-0.73616505,154.42569,0.24228282,0.35100916
88800,34994,105.7051293,37.79786586,0.983,14.9015522,14.5161591,14.3898964,13.9676905,13.8853149,13.6398945,13.504261,13.3229113,13.2912798,13.2138796,13.1531658,13.1464863,0.7945,0.0158,6260.072,3.769378,-0.4995555,102.96369,0.36610308,0.2562033
88800,34996,106.5789573,37.91192452,0.871,17.8269901,17.5072365,17.4510574,16.9254475,16.8641739,16.5392551,16.363657,16.1288109,16.0885239,15.9756908,15.9102077,15.9165916,0.43,0.0439,5283.4937,3.2246017,-0.8760498,445.35236,0.5888002,0.4895028
88800,35011,106.6447674,37.90709793,0.941,14.6838923,14.4297848,14.3530807,13.8674183,13.7995405,13.5073872,13.3614902,13.1641836,13.1295156,13.0764713,13.0077972,13.0022631,1.9448,0.0119,6161.817,4.136282,-0.4988553,139.09703,0.16332832,0.15587583
